id,friendlyName,group,help,type,dbField2
smb.domain.cnt,Domain Cnt,smb,Unique number of SMB domain,integer,smb.domainCnt
smb.ver,Version,smb,SMB Version information,termfield,smb.version
smb.ver.cnt,Version Cnt,smb,Unique number of SMB Version information,integer,smb.versionCnt
smb.dialect,Dialect,smb,SMB Dialect information,termfield,smb.dialect
smb.user,User,smb,SMB User,termfield,smb.user
smb.user.cnt,User Cnt,smb,Unique number of SMB User,integer,smb.userCnt
host.smb,SMB Host,smb,SMB Host name,termfield,smb.host
host.smb.cnt,SMB Host Cnt,smb,Unique number of SMB Host name,integer,smb.hostCnt
host.smb.tokens,Hostname Tokens,smb,SMB Host Tokens,lotextfield,smb.hostTokens
host.email,Email Hostname,email,Email hostnames,lotermfield,email.host
host.email.cnt,Email Hostname Cnt,email,Unique number of Email hostnames,integer,email.hostCnt
host.email.tokens,Hostname Tokens,email,Email Hostname Tokens,lotextfield,email.hostTokens
email.x-mailer,X-Mailer Header,email,Email X-Mailer header,termfield,email.useragent
email.x-mailer.cnt,X-Mailer Header Cnt,email,Unique number of Email X-Mailer header,integer,email.useragentCnt
email.src.cnt,Sender Cnt,email,Unique number of Email from address,integer,email.srcCnt
email.dst.cnt,Receiver Cnt,email,Unique number of Email to address,integer,email.dstCnt
email.subject.cnt,Subject Cnt,email,Unique number of Email subject header,integer,email.subjectCnt
email.message-id,Id,email,Email Message-Id header,termfield,email.id
email.message-id.cnt,Id Cnt,email,Unique number of Email Message-Id header,integer,email.idCnt
email.content-type,Content-Type,email,Email content-type header,termfield,email.contentType
email.content-type.cnt,Content-Type Cnt,email,Unique number of Email content-type header,integer,email.contentTypeCnt
email.mime-version,Mime-Version,email,Email Mime-Header header,termfield,email.mimeVersion
email.mime-version.cnt,Mime-Version Cnt,email,Unique number of Email Mime-Header header,integer,email.mimeVersionCnt
email.fn,Filenames,email,Email attachment filenames,termfield,email.filename
email.fn.cnt,Filenames Cnt,email,Unique number of Email attachment filenames,integer,email.filenameCnt
email.md5,Attach MD5s,email,Email attachment MD5s,termfield,email.md5
email.md5.cnt,Attach MD5s Cnt,email,Unique number of Email attachment MD5s,integer,email.md5Cnt
email.file-content-type,Attach Content-Type,email,Email attachment content types,termfield,email.fileContentType
email.file-content-type.cnt,Attach Content-Type Cnt,email,Unique number of Email attachment content types,integer,email.fileContentTypeCnt
ip.email,IP,email,Email IP address,ip,email.ip
ip.email.cnt,IP Cnt,email,Unique number of Email IP address,integer,email.ipCnt
country.email, GEO,email,GeoIP country string calculated from the Email IP address,uptermfield,email.GEO
asn.email, ASN,email,GeoIP ASN string calculated from the Email IP address,termfield,email.ASN
rir.email, RIR,email,Regional Internet Registry string calculated from Email IP address,uptermfield,email.RIR
email.has-header,Header,email,Email has the header set,lotermfield,email.header
email.has-header.cnt,Header Cnt,email,Unique number of Email has the header set,integer,email.headerCnt
email.has-header.value,Header Value,email,Email has the header value,termfield,email.headerValue
email.has-header.value.cnt,Header Value Cnt,email,Unique number of Email has the header value,integer,email.headerValueCnt
email.bodymagic,Body Magic,email,The content type of body determined by libfile/magic,termfield,email.bodyMagic
email.bodymagic.cnt,Body Magic Cnt,email,Unique number of The content type of body determined by libfile/magic,integer,email.bodyMagicCnt
email.smtp-hello,SMTP Hello,email,SMTP HELO/EHLO,lotermfield,email.smtpHello
email.smtp-hello.cnt,SMTP Hello Cnt,email,Unique number of SMTP HELO/EHLO,integer,email.smtpHelloCnt
email.x-priority,email.x-priority,email,Email header x-priority,integer,email.header-x-priority
email.authorization,email.authorization,email,Email header authorization,termfield,email.header-authorization
snmp.version,Version,snmp,SNMP Version,integer,snmp.version
snmp.version.cnt,Version Cnt,snmp,Unique number of SNMP Version,integer,snmp.versionCnt
snmp.community,Community,snmp,SNMP Community String,termfield,snmp.community
snmp.community.cnt,Community Cnt,snmp,Unique number of SNMP Community String,integer,snmp.communityCnt
snmp.error,Error,snmp,SNMP Error,termfield,snmp.error
snmp.error.cnt,Error Cnt,snmp,Unique number of SNMP Error,integer,snmp.errorCnt
snmp.variable,Variable,snmp,SNMP Variable OID,termfield,snmp.variable
snmp.variable.cnt,Variable Cnt,snmp,Unique number of SNMP Variable OID,integer,snmp.variableCnt
snmp.type,Type,snmp,SNMP PDU Type,termfield,snmp.type
snmp.type.cnt,Type Cnt,snmp,Unique number of SNMP PDU Type,integer,snmp.typeCnt
snmp.trap-oid,Trap OID,snmp,SNMP Trap OID,termfield,snmp.trapOid
snmp.trap-oid.cnt,Trap OID Cnt,snmp,Unique number of SNMP Trap OID,integer,snmp.trapOidCnt
snmp.engineId,Engine ID,snmp,SNMPv3 msgAuthoritativeEngineID (hex),termfield,snmp.engineId
snmp.engineId.cnt,Engine ID Cnt,snmp,Unique number of SNMPv3 msgAuthoritativeEngineID (hex),integer,snmp.engineIdCnt
snmp.secLevel,Security Level,snmp,SNMPv3 security level (noAuthNoPriv/authNoPriv/authPriv),termfield,snmp.secLevel
snmp.secLevel.cnt,Security Level Cnt,snmp,Unique number of SNMPv3 security level (noAuthNoPriv/authNoPriv/authPriv),integer,snmp.secLevelCnt
ip.socks,IP,socks,SOCKS destination IP,ip,socks.ip
country.socks, GEO,socks,GeoIP country string calculated from the SOCKS destination IP,uptermfield,socks.GEO
asn.socks, ASN,socks,GeoIP ASN string calculated from the SOCKS destination IP,termfield,socks.ASN
rir.socks, RIR,socks,Regional Internet Registry string calculated from SOCKS destination IP,uptermfield,socks.RIR
host.socks,Socks Hostname,socks,SOCKS destination host,lotermfield,socks.host
host.socks.tokens,Hostname Tokens,socks,SOCKS Hostname Tokens,lotextfield,socks.hostTokens
port.socks,Port,socks,SOCKS destination port,integer,socks.port
socks.user,User,socks,SOCKS authenticated user,termfield,socks.user
ssh.ver,Version,ssh,SSH Software Version,lotermfield,ssh.version
ssh.ver.cnt,Version Cnt,ssh,Unique number of SSH Software Version,integer,ssh.versionCnt
ssh.key,Key,ssh,SSH Key,termfield,ssh.key
ssh.key.cnt,Key Cnt,ssh,Unique number of SSH Key,integer,ssh.keyCnt
ssh.hassh,HASSH,ssh,SSH HASSH field,lotermfield,ssh.hassh
ssh.hassh.cnt,HASSH Cnt,ssh,Unique number of SSH HASSH field,integer,ssh.hasshCnt
ssh.hasshServer,HASSH Server,ssh,SSH HASSH Server field,lotermfield,ssh.hasshServer
ssh.hasshServer.cnt,HASSH Server Cnt,ssh,Unique number of SSH HASSH Server field,integer,ssh.hasshServerCnt
stun.type,Message Type,stun,STUN message type,termfield,stun.type
stun.type.cnt,Message Type Cnt,stun,Unique number of STUN message type,integer,stun.typeCnt
stun.mapped-ip,Mapped IP,stun,STUN MAPPED-ADDRESS IP,ip,stun.mappedIp
stun.mapped-ip.cnt,Mapped IP Cnt,stun,Unique number of STUN MAPPED-ADDRESS IP,integer,stun.mappedIpCnt
stun.mapped-ip.country,Mapped IP GEO,stun,GeoIP country string calculated from the STUN MAPPED-ADDRESS IP,uptermfield,stun.mappedGEO
stun.mapped-ip.asn,Mapped IP ASN,stun,GeoIP ASN string calculated from the STUN MAPPED-ADDRESS IP,termfield,stun.mappedASN
stun.mapped-ip.rir,Mapped IP RIR,stun,Regional Internet Registry string calculated from STUN MAPPED-ADDRESS IP,uptermfield,stun.mappedRIR
stun.mapped-port,Mapped Port,stun,STUN MAPPED-ADDRESS port,integer,stun.mappedPort
stun.mapped-port.cnt,Mapped Port Cnt,stun,Unique number of STUN MAPPED-ADDRESS port,integer,stun.mappedPortCnt
stun.xor-mapped-ip,XOR Mapped IP,stun,STUN XOR-MAPPED-ADDRESS IP (external/NAT IP),ip,stun.xorMappedIp
stun.xor-mapped-ip.cnt,XOR Mapped IP Cnt,stun,Unique number of STUN XOR-MAPPED-ADDRESS IP (external/NAT IP),integer,stun.xorMappedIpCnt
stun.xor-mapped-ip.country,XOR Mapped IP GEO,stun,GeoIP country string calculated from the STUN XOR-MAPPED-ADDRESS IP (external/NAT IP),uptermfield,stun.xorMappedGEO
stun.xor-mapped-ip.asn,XOR Mapped IP ASN,stun,GeoIP ASN string calculated from the STUN XOR-MAPPED-ADDRESS IP (external/NAT IP),termfield,stun.xorMappedASN
stun.xor-mapped-ip.rir,XOR Mapped IP RIR,stun,Regional Internet Registry string calculated from STUN XOR-MAPPED-ADDRESS IP (external/NAT IP),uptermfield,stun.xorMappedRIR
stun.xor-mapped-port,XOR Mapped Port,stun,STUN XOR-MAPPED-ADDRESS port,integer,stun.xorMappedPort
stun.xor-mapped-port.cnt,XOR Mapped Port Cnt,stun,Unique number of STUN XOR-MAPPED-ADDRESS port,integer,stun.xorMappedPortCnt
stun.username,Username,stun,STUN username (ICE credentials),termfield,stun.username
stun.username.cnt,Username Cnt,stun,Unique number of STUN username (ICE credentials),integer,stun.usernameCnt
stun.software,Software,stun,STUN software attribute,termfield,stun.software
stun.software.cnt,Software Cnt,stun,Unique number of STUN software attribute,integer,stun.softwareCnt
stun.realm,Realm,stun,STUN realm,termfield,stun.realm
stun.realm.cnt,Realm Cnt,stun,Unique number of STUN realm,integer,stun.realmCnt
stun.error,Error Code,stun,STUN error code,integer,stun.error
stun.error.cnt,Error Code Cnt,stun,Unique number of STUN error code,integer,stun.errorCnt
stun.xor-relayed-ip,XOR Relayed IP,stun,TURN XOR-RELAYED-ADDRESS IP (relay server allocated address),ip,stun.xorRelayedIp
stun.xor-relayed-ip.cnt,XOR Relayed IP Cnt,stun,Unique number of TURN XOR-RELAYED-ADDRESS IP (relay server allocated address),integer,stun.xorRelayedIpCnt
stun.xor-relayed-ip.country,XOR Relayed IP GEO,stun,GeoIP country string calculated from the TURN XOR-RELAYED-ADDRESS IP (relay server allocated address),uptermfield,stun.xorRelayedGEO
stun.xor-relayed-ip.asn,XOR Relayed IP ASN,stun,GeoIP ASN string calculated from the TURN XOR-RELAYED-ADDRESS IP (relay server allocated address),termfield,stun.xorRelayedASN
stun.xor-relayed-ip.rir,XOR Relayed IP RIR,stun,Regional Internet Registry string calculated from TURN XOR-RELAYED-ADDRESS IP (relay server allocated address),uptermfield,stun.xorRelayedRIR
stun.xor-relayed-port,XOR Relayed Port,stun,TURN XOR-RELAYED-ADDRESS port,integer,stun.xorRelayedPort
stun.xor-relayed-port.cnt,XOR Relayed Port Cnt,stun,Unique number of TURN XOR-RELAYED-ADDRESS port,integer,stun.xorRelayedPortCnt
stun.xor-peer-ip,XOR Peer IP,stun,TURN XOR-PEER-ADDRESS IP (remote peer relayed through TURN server),ip,stun.xorPeerIp
stun.xor-peer-ip.cnt,XOR Peer IP Cnt,stun,Unique number of TURN XOR-PEER-ADDRESS IP (remote peer relayed through TURN server),integer,stun.xorPeerIpCnt
stun.xor-peer-ip.country,XOR Peer IP GEO,stun,GeoIP country string calculated from the TURN XOR-PEER-ADDRESS IP (remote peer relayed through TURN server),uptermfield,stun.xorPeerGEO
stun.xor-peer-ip.asn,XOR Peer IP ASN,stun,GeoIP ASN string calculated from the TURN XOR-PEER-ADDRESS IP (remote peer relayed through TURN server),termfield,stun.xorPeerASN
stun.xor-peer-ip.rir,XOR Peer IP RIR,stun,Regional Internet Registry string calculated from TURN XOR-PEER-ADDRESS IP (remote peer relayed through TURN server),uptermfield,stun.xorPeerRIR
stun.xorPeerPort,XOR Peer Port,stun,TURN XOR-PEER-ADDRESS port,integer,stun.xorPeerPort
stun.xorPeerPort.cnt,XOR Peer Port Cnt,stun,Unique number of TURN XOR-PEER-ADDRESS port,integer,stun.xorPeerPortCnt
stun.attributes,Attributes,stun,"STUN/TURN protocol attributes/flags (fingerprint, ice-controlled, ice-controlling, use-candidate)",termfield,stun.attributes
stun.attributes.cnt,Attributes Cnt,stun,"Unique number of STUN/TURN protocol attributes/flags (fingerprint, ice-controlled, ice-controlling, use-candidate)",integer,stun.attributesCnt
synchrophasor.frameType,Frame Type,synchrophasor,Synchrophasor frame types,lotermfield,synchrophasor.frameType
synchrophasor.frameType.cnt,Frame Type Cnt,synchrophasor,Unique number of Synchrophasor frame types,integer,synchrophasor.frameTypeCnt
synchrophasor.idcode,ID Code,synchrophasor,Synchrophasor data stream ID codes,integer,synchrophasor.idcode
synchrophasor.idcode.cnt,ID Code Cnt,synchrophasor,Unique number of Synchrophasor data stream ID codes,integer,synchrophasor.idcodeCnt
synchrophasor.cmd,Command,synchrophasor,Synchrophasor command codes,integer,synchrophasor.cmd
synchrophasor.cmd.cnt,Command Cnt,synchrophasor,Unique number of Synchrophasor command codes,integer,synchrophasor.cmdCnt
synchrophasor.station,Station Name,synchrophasor,Synchrophasor PMU station names,termfield,synchrophasor.station
synchrophasor.station.cnt,Station Name Cnt,synchrophasor,Unique number of Synchrophasor PMU station names,integer,synchrophasor.stationCnt
synchrophasor.dataRate,Data Rate,synchrophasor,Synchrophasor data rate (frames/sec),integer,synchrophasor.dataRate
synchrophasor.dataRate.cnt,Data Rate Cnt,synchrophasor,Unique number of Synchrophasor data rate (frames/sec),integer,synchrophasor.dataRateCnt
synchrophasor.numPMU,Number of PMUs,synchrophasor,Number of PMUs in synchrophasor config,integer,synchrophasor.numPMU
synchrophasor.numPMU.cnt,Number of PMUs Cnt,synchrophasor,Unique number of Number of PMUs in synchrophasor config,integer,synchrophasor.numPMUCnt
sccp.src,Src Point Code,sccp,SCCP Source Point Code,integer,sccp.src
sccp.src.cnt,Src Point Code Cnt,sccp,Unique number of SCCP Source Point Code,integer,sccp.srcCnt
sccp.dst,Dst Point Code,sccp,SCCP Destination Point Code,integer,sccp.dst
sccp.dst.cnt,Dst Point Code Cnt,sccp,Unique number of SCCP Destination Point Code,integer,sccp.dstCnt
tcap.opcode,Op Code,tcap,TCAP Operation Code,integer,tcap.opcode
tcap.opcode.cnt,Op Code Cnt,tcap,Unique number of TCAP Operation Code,integer,tcap.opcodeCnt
tftp.opcode,Opcode,tftp,"TFTP opcode (rrq, wrq, data, ack, error)",termfield,tftp.opcode
tftp.opcode.cnt,Opcode Cnt,tftp,"Unique number of TFTP opcode (rrq, wrq, data, ack, error)",integer,tftp.opcodeCnt
tftp.filename,Filename,tftp,TFTP filename,termfield,tftp.filename
tftp.filename.cnt,Filename Cnt,tftp,Unique number of TFTP filename,integer,tftp.filenameCnt
tls.version,Version,tls,SSL/TLS version field,termfield,tls.version
tls.version.cnt,Version Cnt,tls,Unique number of SSL/TLS version field,integer,tls.versionCnt
tls.cipher,Cipher,tls,SSL/TLS cipher field,uptermfield,tls.cipher
tls.cipher.cnt,Cipher Cnt,tls,Unique number of SSL/TLS cipher field,integer,tls.cipherCnt
tls.ja3,JA3,tls,SSL/TLS JA3 field,lotermfield,tls.ja3
tls.ja3.cnt,JA3 Cnt,tls,Unique number of SSL/TLS JA3 field,integer,tls.ja3Cnt
tls.ja4.cnt,JA4 Cnt,tls,Unique number of SSL/TLS JA4 field,integer,tls.ja4Cnt
tls.ja4_r.cnt,JA4_r Cnt,tls,Unique number of SSL/TLS JA4_r field,integer,tls.ja4_rCnt
tls.ja3s,JA3S,tls,SSL/TLS JA3S field,lotermfield,tls.ja3s
tls.ja3s.cnt,JA3S Cnt,tls,Unique number of SSL/TLS JA3S field,integer,tls.ja3sCnt
tls.sessionid.dst,Dst Session Id,tls,SSL/TLS Dst Session Id,lotermfield,tls.dstSessionId
tls.sessionid.src,Src Session Id,tls,SSL/TLS Src Session Id,lotermfield,tls.srcSessionId
tls.sessionid,Src or Dst Session Id,general,Shorthand for tls.sessionid.src or tls.sessionid.dst,lotermfield,tlsidall
websocket.opcode,Opcode,websocket,"WebSocket frame opcode (Text, Binary, Ping, Pong, Close, ...)",termfield,websocket.opcode
websocket.opcode.cnt,Opcode Cnt,websocket,"Unique number of WebSocket frame opcode (Text, Binary, Ping, Pong, Close, ...)",integer,websocket.opcodeCnt
websocket.closeCode,Close Code,websocket,WebSocket close status code,integer,websocket.closeCode
websocket.closeCode.cnt,Close Code Cnt,websocket,Unique number of WebSocket close status code,integer,websocket.closeCodeCnt
websocket.closeReason,Close Reason,websocket,WebSocket close reason text,termfield,websocket.closeReason
websocket.closeReason.cnt,Close Reason Cnt,websocket,Unique number of WebSocket close reason text,integer,websocket.closeReasonCnt
websocket.payloadBytes,Payload Bytes,websocket,Total WebSocket payload bytes observed,integer,websocket.payloadBytes
websocket.frameCnt,Frame Count,websocket,Total WebSocket frames observed,integer,websocket.frameCnt
websocket.textSample,Text Sample,websocket,Sample of WebSocket text frame payload (truncated to 256 bytes),termfield,websocket.textSample
websocket.textSample.cnt,Text Sample Cnt,websocket,Unique number of Sample of WebSocket text frame payload (truncated to 256 bytes),integer,websocket.textSampleCnt
websocket.maskedFromClient,Masked Frames,websocket,Number of WebSocket frames with the MASK bit set (must be set on client->server frames per RFC 6455),integer,websocket.maskedFromClient
tags,Tags,general,Tags set for session,termfield,tags
tags.cnt,Tags Cnt,general,Unique number of Tags set for session,integer,tagsCnt
asset,Asset,general,Asset name,lotermfield,asset
asset.cnt,Asset Cnt,general,Unique number of Asset name,integer,assetCnt
protocols,Protocols,general,Protocols set for session,termfield,protocol
protocols.cnt,Protocols Cnt,general,Unique number of Protocols set for session,integer,protocolCnt
ospf.version,OSPF Version,ospf,OSPF version (RFC 2328 / 5340),termfield,ospf.version
ospf.v2.authType,OSPFv2 Auth Type,ospf,OSPFv2 authentication type,termfield,ospf.v2.authType
ospf.v2.helloInterval,Hello Interval,ospf,OSPF Hello interval (seconds),integer,ospf.v2.helloInterval
ospf.v2.deadInterval,Dead Interval,ospf,OSPF Router Dead interval (seconds),integer,ospf.v2.deadInterval
ospf.v2.dr,Designated Router,ospf,OSPF Designated Router,termfield,ospf.v2.dr
ospf.v2.bdr,Backup DR,ospf,OSPF Backup Designated Router,termfield,ospf.v2.bdr
ospf.v3.instanceId,OSPFv3 Instance ID,ospf,OSPFv3 Instance ID (RFC 5340),integer,ospf.v3.instanceId
ntlm.domain,NTLM Domain,ntlm,NTLMSSP domain or target realm,termfield,ntlm.domain
ntlm.domain.cnt,NTLM Domain Cnt,ntlm,Unique number of NTLMSSP domain or target realm,integer,ntlm.domainCnt
ntlm.host,NTLM Host,ntlm,NTLMSSP workstation/host name,termfield,ntlm.host
ntlm.host.cnt,NTLM Host Cnt,ntlm,Unique number of NTLMSSP workstation/host name,integer,ntlm.hostCnt
ntlm.targetName,NTLM Target Name,ntlm,NTLMSSP server-advertised target name (Type 2),termfield,ntlm.targetName
ntlm.targetName.cnt,NTLM Target Name Cnt,ntlm,Unique number of NTLMSSP server-advertised target name (Type 2),integer,ntlm.targetNameCnt
ntlm.version,NTLM Version,ntlm,NTLMSSP client/server OS version (major.minor.build),termfield,ntlm.version
ntlm.version.cnt,NTLM Version Cnt,ntlm,Unique number of NTLMSSP client/server OS version (major.minor.build),integer,ntlm.versionCnt
ntlm.type,NTLM Message Type,ntlm,"NTLMSSP message type: 1=Negotiate, 2=Challenge, 3=Authenticate",integer,ntlm.type
ntlm.type.cnt,NTLM Message Type Cnt,ntlm,"Unique number of NTLMSSP message type: 1=Negotiate, 2=Challenge, 3=Authenticate",integer,ntlm.typeCnt
opcua.endpointUrl,OPC UA Endpoint URL,opcua,OPC UA endpoint URL from the Hello message,termfield,opcua.endpointUrl
opcua.endpointUrl.cnt,OPC UA Endpoint URL Cnt,opcua,Unique number of OPC UA endpoint URL from the Hello message,integer,opcua.endpointUrlCnt
opcua.securityPolicyUri,OPC UA Security Policy,opcua,OPC UA SecurityPolicyUri from the OpenSecureChannel message,termfield,opcua.securityPolicyUri
opcua.securityPolicyUri.cnt,OPC UA Security Policy Cnt,opcua,Unique number of OPC UA SecurityPolicyUri from the OpenSecureChannel message,integer,opcua.securityPolicyUriCnt
pop3.user,User,pop3,POP3 username,lotermfield,pop3.user
pop3.user.cnt,User Cnt,pop3,Unique number of POP3 username,integer,pop3.userCnt
pop3.bodyfile,POP3 Body File,pop3,POP3 email body saved file path,termfield,pop3.bodyFile
pop3.bodymagic,POP3 Body Magic,pop3,The content type of POP3 body determined by libfile/magic,termfield,pop3.bodyMagic
pop3.bodymagic.cnt,POP3 Body Magic Cnt,pop3,Unique number of The content type of POP3 body determined by libfile/magic,integer,pop3.bodyMagicCnt
pop3.body.md5,POP3 Body MD5,pop3,POP3 email body MD5,termfield,pop3.bodyMd5
pop3.body.md5.cnt,POP3 Body MD5 Cnt,pop3,Unique number of POP3 email body MD5,integer,pop3.bodyMd5Cnt
packets.src,Src Packets,general,Total number of packets sent by source in a session,integer,srcPackets
packets.dst,Dst Packets,general,Total number of packets sent by destination in a session,integer,dstPackets
communityId,Community Id,general,Community id flow hash,termfield,communityId
